#sid	name	note	sample_env	keywords_clean	taxa_stats	num_rids	num_hq_runs	rids	projects	publications
ERS4516182	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":51779,"totalotus":184,"otus":["90_782;96_3985;97_4901","90_24;96_259;97_283","90_21;96_89;97_94"],"otutax":["Bacteria;Firmicutes;Clostridia;Eubacteriales","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"],"counts":[4719,1265,643]}	1	1	ERR4033678	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516183	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":61747,"totalotus":230,"otus":["90_782;96_3985;97_4901","90_7796;96_34026;97_43151","90_24;96_412;97_467"],"otutax":["Bacteria;Firmicutes;Clostridia;Eubacteriales","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium"],"counts":[5875,1086,470]}	1	1	ERR4033679	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516184	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":63961,"totalotus":228,"otus":["90_61;96_130;97_140","90_220;96_5190;97_6264","90_21;96_89;97_94"],"otutax":["Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"],"counts":[3280,1648,1499]}	1	1	ERR4033680	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516185	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":63822,"totalotus":230,"otus":["90_21;96_363;97_408","90_220;96_5190;97_6264","90_110;96_1123;97_1318"],"otutax":["Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes"],"counts":[1261,1184,1156]}	1	1	ERR4033681	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516186	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":55199,"totalotus":167,"otus":["90_7796;96_34026;97_43151","90_24;96_920;97_1072","90_24;96_412;97_467"],"otutax":["Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium"],"counts":[893,736,716]}	1	1	ERR4033682	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516187	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":39055,"totalotus":140,"otus":["90_217;96_789;97_918","90_61;96_130;97_140","90_16;96_3451;97_4234"],"otutax":["Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia","Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia"],"counts":[2881,760,713]}	1	1	ERR4033683	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516188	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":126864,"totalotus":240,"otus":["90_807;96_6583;97_36330","90_274;96_1977;97_2378","90_61;96_130;97_140"],"otutax":["Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia"],"counts":[3073,2004,1698]}	1	1	ERR4033684	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516189	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":50050,"totalotus":148,"otus":["90_217;96_789;97_918","90_24;96_920;97_1072","90_21;96_684;97_1763"],"otutax":["Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"],"counts":[1756,732,503]}	1	1	ERR4033685	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516190	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":61182,"totalotus":305,"otus":["90_782;96_3985;97_4901","90_1106;96_4951;97_5995","90_24;96_259;97_283"],"otutax":["Bacteria;Firmicutes;Clostridia;Eubacteriales","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Massiliprevotella","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium"],"counts":[4961,2727,1114]}	1	1	ERR4033686	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
ERS4516191	ERP121217_allergic microbial signature in ige-mediated food allergies_allergic microbial signature in ige-mediated food allergies_		animal;human	allergy;association;city;dairy food;feces;food;gastrointestinal tract;human;human-associated;human-gut;ige;milk	{"totalcount":61407,"totalotus":241,"otus":["90_24;96_920;97_1072","90_21;96_89;97_94","90_24;96_412;97_467"],"otutax":["Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides","Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium"],"counts":[3525,835,691]}	1	1	ERR4033687	[{"pid": "ERP121217", "title": "Allergic microbial signature in IgE-mediated food allergies", "abstract": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm.", "description": "Multiple studies suggest a key pathogenetic role for gut microbiota modifications in food allergy (FA) development, but to date, no specific bacterial taxa have been consistently associated with FA. Here we characterized the gut microbiota composition and SCFA profile associated with an IgE-mediated FA state. We analyzed blood and fecal samples from 233 IgE-mediated FA patients, and from an age-matched control group (n=58). Our results demonstrate a link between IgE-mediated FA and the gut microbiota composition. We found the microbiome composition of allergic patients to be significantly different compared to age-matched controls, with distinct microbial signatures that differentiate FA patients from healthy non-allergic controls, and distinct microbial signatures for FA to different foods. We used these microbial differences to distinguish between FA patients and non- allergic healthy controls with 85% accuracy, and for the classification of FA patients according to their FA types using a supervised learning algorithm."}]	[{"pmid": "33109272", "authors": "Goldberg MR,Mor H,Magid Neriya D,Magzal F,Muller E,Appel MY,Nachshon L,Borenstein E,Tamir S,Louzoun Y,Youngster I,Elizur A,Koren O", "title": "Microbial signature in IgE-mediated food allergies.", "year": "2020"}]
